date,ret_pct,kp_chain,la_chain,kp_panchang,la_panchang
2023-01-19,-0.066,-0.34,-0.34,1.5,1.5
2023-01-20,-0.485,-0.06,-0.06,1.5,1.5
2023-01-23,0.001,0.23,0.23,1.5,1.5
2023-01-24,-0.361,0.0,0.0,2.5,2.5
2023-01-25,-1.113,-0.12,-0.12,-0.5,-0.5
2023-01-27,-1.526,0.16,0.16,2.5,2.5
2023-01-30,0.61,-0.12,-0.12,0.5,0.5
2023-01-31,-0.391,-0.5,-0.5,1.5,1.5
2023-02-01,-1.096,-0.28,-0.28,2.5,2.5
2023-02-02,0.533,0.06,0.06,1.5,1.5
2023-02-03,0.747,-0.12,-0.12,1.5,1.5
2023-02-06,-0.303,0.5,0.5,2.5,2.5
2023-02-07,-0.386,0.5,0.5,2.5,2.5
2023-02-08,0.684,-0.22,-0.22,1.5,1.5
2023-02-09,0.044,-0.44,-0.44,0.5,0.5
2023-02-10,0.05,0.0,0.0,-0.5,-0.5
2023-02-13,-0.494,-0.44,-0.44,2.5,2.5
2023-02-14,0.502,-0.16,-0.16,1.5,1.5
2023-02-15,0.666,0.72,0.72,-0.5,-0.5
2023-02-16,-0.326,-0.06,-0.06,2.5,2.5
2023-02-17,-0.171,0.12,0.12,1.5,1.5
2023-02-20,-0.673,-0.16,-0.16,-2.5,-2.5
2023-02-21,-0.442,0.28,-0.56,2.5,2.5
2023-02-22,-1.132,0.06,0.16,2.5,2.5
2023-02-23,-0.361,0.5,0.5,0.5,0.5
2023-02-24,-0.714,0.34,0.34,2.5,2.5
2023-02-27,-0.206,1.0,1.0,1.5,1.5
2023-02-28,-0.456,0.5,0.5,-0.5,-0.5
2023-03-01,0.523,-0.25,-0.25,1.5,1.5
2023-03-02,-0.572,0.0,0.0,1.5,1.5
2023-03-03,0.82,0.0,0.0,2.5,2.5
2023-03-06,0.176,0.28,0.28,0.5,0.5
2023-03-08,0.502,0.22,0.22,1.5,1.5
2023-03-09,-1.027,0.5,0.5,1.5,1.5
2023-03-10,-0.177,-1.0,-1.0,2.5,2.5
2023-03-13,-1.536,0.0,0.0,2.5,2.5
2023-03-14,-0.683,-0.34,0.78,2.5,2.5
2023-03-15,-1.132,0.0,0.0,1.5,1.5
2023-03-16,-0.053,0.0,0.06,-0.5,-0.5
2023-03-17,-0.069,0.5,0.5,1.5,1.5
2023-03-20,-0.458,0.39,0.39,0.5,0.5
2023-03-21,0.276,0.72,0.72,-1.5,-1.5
2023-03-22,-0.149,-0.28,-0.28,0.5,0.5
2023-03-23,-0.12,0.72,0.72,2.5,2.5
2023-03-24,-0.768,0.06,0.06,1.5,1.5
2023-03-27,0.008,1.0,1.0,2.5,2.5
2023-03-28,-0.47,0.16,0.16,2.5,2.5
2023-03-29,0.609,-0.073,-0.073,2.5,2.5
2023-03-31,0.868,-0.14,-0.14,1.5,1.5
2023-04-03,-0.172,-0.08,-0.08,1.5,1.5
2023-04-05,0.773,0.34,0.34,-0.5,-0.5
2023-04-06,0.372,0.5,0.5,1.5,1.5
2023-04-10,-0.062,0.22,0.22,-0.5,-0.5
2023-04-11,0.099,-0.16,-0.16,2.5,2.5
2023-04-12,0.298,-0.16,-0.16,1.5,1.5
2023-04-13,0.116,0.0,0.0,2.5,2.5
2023-04-17,-0.874,0.0,0.0,2.5,2.5
2023-04-18,-0.599,-0.3,-0.3,2.5,2.5
2023-04-19,-0.196,0.34,0.34,-2.5,-2.5
2023-04-20,-0.08,-0.36,-0.36,-2.5,-2.5
2023-04-21,-0.089,0.06,0.06,2.5,2.5
2023-04-24,0.202,0.78,0.78,0.5,0.5
2023-04-25,0.043,-0.22,-0.22,1.5,1.5
2023-04-26,0.261,-0.16,-0.16,2.5,2.5
2023-04-27,0.572,0.5,0.5,1.5,1.5
2023-04-28,0.638,0.28,0.28,1.5,1.5
2023-05-02,0.126,-1.0,-1.0,1.5,1.5
2023-05-03,-0.132,0.5,0.5,2.5,2.5
2023-05-04,0.967,0.56,0.56,0.5,0.5
2023-05-05,-0.267,-0.11,-0.11,1.5,1.5
2023-05-08,0.794,-0.44,-0.44,2.5,2.5
2023-05-09,-0.205,0.133,0.133,0.5,0.5
2023-05-10,0.008,-0.16,-0.16,2.5,2.5
2023-05-11,-0.331,0.28,0.28,2.5,2.5
2023-05-12,0.225,0.5,0.5,2.5,2.5
2023-05-15,0.325,-0.16,-0.16,1.5,1.5
2023-05-16,-0.791,0.5,0.5,2.5,2.5
2023-05-17,-0.649,0.16,0.16,2.5,2.5
2023-05-18,-0.862,0.573,0.573,0.5,0.5
2023-05-19,0.095,0.58,0.58,-1.5,-1.5
2023-05-22,0.622,0.0,0.0,1.5,1.5
2023-05-23,-0.081,0.12,0.12,-0.5,-0.5
2023-05-24,-0.051,0.5,0.5,1.5,1.5
2023-05-25,0.286,0.5,0.5,2.5,2.5
2023-05-26,0.713,1.0,1.0,1.5,1.5
2023-05-29,-0.11,0.12,0.12,0.5,0.5
2023-05-30,0.146,0.0,0.0,0.5,0.5
2023-05-31,-0.322,-0.5,-0.5,1.5,1.5
2023-06-01,-0.493,-0.34,-0.34,2.5,2.5
2023-06-02,-0.09,-0.11,-0.11,1.5,1.5
2023-06-05,-0.098,-0.16,-0.16,2.5,2.5
2023-06-06,-0.01,0.28,0.28,2.5,2.5
2023-06-07,0.326,-0.16,-0.16,0.5,0.5
2023-06-08,-0.485,-1.0,-1.0,2.5,2.5
2023-06-09,-0.496,0.0,0.0,1.5,1.5
2023-06-12,0.035,-0.16,-0.16,0.5,0.5
2023-06-13,0.453,-0.16,-0.16,1.5,1.5
2023-06-14,0.06,-0.56,-0.56,1.5,1.5
2023-06-15,-0.46,0.5,0.5,2.5,2.5
2023-06-16,0.549,0.5,0.5,1.5,1.5
2023-06-19,-0.624,0.0,0.0,2.5,2.5
2023-06-20,0.343,0.72,0.72,1.5,1.5
2023-06-21,0.04,0.12,0.12,1.5,1.5
2023-06-22,-0.437,0.23,0.23,0.5,0.5
2023-06-23,-0.407,-0.14,-0.14,2.5,2.5
2023-06-26,0.047,0.36,0.36,2.5,1.5
2023-06-27,0.367,0.5,0.5,0.5,0.5
2023-06-28,0.338,0.5,0.06,0.5,0.5
2023-06-30,0.588,1.0,1.0,2.5,2.5
2023-07-03,0.395,-0.56,-0.56,2.5,2.5
2023-07-04,-0.091,-0.16,-0.16,2.5,2.5
2023-07-05,-0.038,0.5,0.5,1.5,1.5
2023-07-06,0.576,0.28,0.28,2.5,2.5
2023-07-07,-0.469,-0.44,-0.44,2.5,2.5
2023-07-10,-0.229,0.28,0.28,1.5,1.5
2023-07-11,0.063,0.34,0.34,0.5,0.5
2023-07-12,-0.58,0.3,0.3,0.5,0.5
2023-07-13,-0.418,1.0,1.0,1.5,1.5
2023-07-14,0.364,0.5,0.5,1.5,1.5
2023-07-17,0.506,0.34,0.34,-2.5,-2.5
2023-07-18,-0.193,-0.16,-0.16,0.5,0.5
2023-07-19,0.153,0.0,0.0,2.5,2.5
2023-07-20,0.744,-0.5,-0.5,1.5,1.5
2023-07-21,-0.28,0.133,0.133,1.5,1.5
