date,open,close,high,low
2015-11-19,16944.349609375,17071.900390625,17110.349609375,16874.69921875
2015-11-20,17022.69921875,17055.599609375,17262.849609375,16931.30078125
2015-11-23,17120.25,17060.25,17126.349609375,16969.349609375
2015-11-24,17012.849609375,16988.650390625,17108.400390625,16964.900390625
2015-11-26,16988.19921875,17036.55078125,17111.44921875,16972.599609375
2015-11-27,17095.19921875,17370.94921875,17403.650390625,17049.55078125
2015-11-30,17336.25,17430.400390625,17498.349609375,17336.25
2015-12-01,17456.75,17398.55078125,17495.44921875,17353.849609375
2015-12-02,17457.150390625,17218.5,17470.849609375,17164.0
2015-12-03,17137.80078125,17110.099609375,17219.0,17080.25
2015-12-04,17009.44921875,16897.30078125,17009.44921875,16880.349609375
2015-12-07,17018.0,16947.0,17031.849609375,16921.75
2015-12-08,16888.650390625,16801.150390625,16943.05078125,16783.650390625
2015-12-09,16762.150390625,16660.75,16868.599609375,16626.55078125
2015-12-10,16697.19921875,16711.05078125,16745.25,16573.150390625
2015-12-11,16751.349609375,16342.5,16758.69921875,16260.099609375
2015-12-14,16212.400390625,16350.650390625,16440.849609375,16205.7998046875
2015-12-15,16342.349609375,16398.650390625,16425.150390625,16188.0498046875
2015-12-16,16464.5,16579.400390625,16640.400390625,16363.900390625
2015-12-17,16704.05078125,16741.5,16771.80078125,16544.650390625
2015-12-18,16719.44921875,16594.30078125,16737.69921875,16572.75
2015-12-21,16593.400390625,16825.150390625,16848.599609375,16580.650390625
2015-12-22,16810.69921875,16749.19921875,16946.099609375,16704.150390625
2015-12-23,16828.349609375,16882.5,16913.150390625,16812.5
2015-12-24,16926.94921875,16811.0,16939.599609375,16756.900390625
2015-12-28,16843.400390625,16979.150390625,17019.0,16843.400390625
2015-12-29,16988.30078125,16991.44921875,17045.55078125,16921.150390625
2015-12-30,16997.5,16917.900390625,17011.30078125,16889.05078125
2015-12-31,16916.05078125,16922.19921875,16972.25,16896.650390625
2016-01-01,16932.5,17039.25,17067.44921875,16824.05078125
2016-01-04,16966.349609375,16599.150390625,16966.349609375,16575.44921875
2016-01-05,16652.05078125,16542.5,16670.19921875,16474.849609375
2016-01-06,16505.44921875,16433.150390625,16614.94921875,16377.650390625
2016-01-07,16256.5498046875,16073.849609375,16256.5498046875,16049.75
2016-01-08,16135.400390625,16142.650390625,16229.0,16104.099609375
2016-01-11,15979.0498046875,16016.25,16156.7998046875,15840.599609375
2016-01-12,16080.400390625,15734.7998046875,16080.400390625,15699.400390625
2016-01-13,15835.0498046875,15871.849609375,15956.25,15532.25
2016-01-14,15612.099609375,15609.7998046875,15803.2001953125,15453.400390625
2016-01-15,15621.849609375,15206.2998046875,15650.7001953125,15154.349609375
2016-01-18,15165.2001953125,15020.7998046875,15270.400390625,14956.9501953125
2016-01-19,15086.75,15269.650390625,15338.2001953125,15086.75
2016-01-20,15059.5,14935.5,15533.4501953125,14754.650390625
2016-01-21,15132.2001953125,15101.2001953125,15364.599609375,14918.150390625
2016-01-22,15343.150390625,15497.5498046875,15575.650390625,15274.900390625
2016-01-25,15667.0,15561.150390625,15682.650390625,15495.099609375
2016-01-27,15648.400390625,15534.599609375,15673.9501953125,15442.2001953125
2016-01-28,15569.5498046875,15381.4501953125,15572.2001953125,15349.75
2016-01-29,15140.150390625,15522.400390625,15554.900390625,15136.849609375
2016-02-01,15547.75,15314.4501953125,15565.5,15281.349609375
2016-02-02,15353.599609375,15068.0,15463.4501953125,15018.849609375
2016-02-03,14897.400390625,14834.0498046875,14947.7998046875,14777.75
2016-02-04,14969.2001953125,14869.150390625,14978.349609375,14761.400390625
2016-02-05,14928.25,15162.0498046875,15211.900390625,14890.900390625
2016-02-08,15206.2998046875,15046.7998046875,15367.900390625,14960.099609375
2016-02-09,14830.400390625,14875.099609375,14964.900390625,14760.7998046875
2016-02-10,14740.2001953125,14588.4501953125,14779.150390625,14490.2001953125
2016-02-11,14518.650390625,14028.5498046875,14530.7998046875,13969.849609375
2016-02-12,14088.599609375,13971.5,14154.5498046875,13810.599609375
2016-02-15,14120.900390625,14445.0,14548.150390625,14120.5
2016-02-16,14602.25,14166.4501953125,14602.25,14136.7998046875
2016-02-17,14165.25,14119.849609375,14186.099609375,13892.099609375
2016-02-18,14301.75,14298.150390625,14385.650390625,14180.900390625
2016-02-19,14243.4501953125,14344.2001953125,14395.849609375,14207.349609375
2016-02-22,14331.2001953125,14384.7998046875,14467.150390625,14322.650390625
2016-02-23,14373.2998046875,14008.349609375,14373.2998046875,13961.75
2016-02-24,13873.7001953125,13794.0498046875,13974.5,13760.25
2016-02-25,13844.4501953125,13555.7001953125,13844.4501953125,13519.900390625
2016-02-26,13715.099609375,13791.4501953125,13889.25,13595.2001953125
2016-02-29,13818.900390625,13946.400390625,14222.2998046875,13407.25
2016-03-01,14064.7998046875,14412.900390625,14445.7001953125,14064.7998046875
2016-03-02,14770.349609375,15092.4501953125,15138.7001953125,14767.2998046875
2016-03-03,15150.0498046875,15177.75,15206.25,15000.0498046875
2016-03-04,15243.75,15339.2001953125,15451.75,15005.5
2016-03-08,15323.4501953125,15146.5,15326.650390625,15066.5
2016-03-09,15022.349609375,15279.0498046875,15331.25,14989.400390625
2016-03-10,15347.4501953125,15180.650390625,15354.150390625,15098.5
2016-03-11,15133.75,15168.2001953125,15343.5498046875,15024.7998046875
2016-03-14,15309.0498046875,15277.7998046875,15416.150390625,15220.150390625
2016-03-15,15310.4501953125,15326.7998046875,15386.849609375,15268.099609375
2016-03-16,15304.349609375,15461.7001953125,15489.5,15178.2998046875
2016-03-17,15622.2998046875,15444.0,15704.75,15312.5
2016-03-18,15485.7998046875,15654.849609375,15678.5498046875,15456.2001953125
2016-03-21,15735.5498046875,15926.099609375,15945.7998046875,15735.5498046875
2016-03-22,15930.4501953125,15936.0,15967.849609375,15779.150390625
2016-03-23,15884.25,15887.75,15919.599609375,15799.9501953125
2016-03-28,15867.75,15604.900390625,15890.7001953125,15522.2001953125
2016-03-29,15583.099609375,15666.25,15774.099609375,15580.7998046875
2016-03-30,15829.599609375,16134.849609375,16167.5,15762.2001953125
2016-03-31,16134.400390625,16141.650390625,16282.75,16062.0498046875
2016-04-01,16099.650390625,16174.900390625,16235.7998046875,16020.599609375
2016-04-04,16236.900390625,16190.599609375,16278.5,16046.5
2016-04-05,16127.4501953125,15695.0,16147.150390625,15659.75
2016-04-06,15750.150390625,15636.9501953125,15768.5498046875,15578.5498046875
2016-04-07,15668.9501953125,15530.75,15726.599609375,15458.0498046875
2016-04-08,15519.2998046875,15568.349609375,15642.7001953125,15483.0498046875
2016-04-11,15623.349609375,15818.5,15853.849609375,15440.25
2016-04-12,15809.099609375,15880.2001953125,15958.7998046875,15794.150390625
2016-04-13,16087.9501953125,16278.5498046875,16349.7001953125,16080.5498046875
2016-04-18,16328.7001953125,16222.7001953125,16330.5498046875,16011.900390625
2016-04-20,16299.5,16349.7001953125,16386.349609375,16160.5498046875
2016-04-21,16526.55078125,16637.150390625,16769.55078125,16526.55078125
2016-04-22,16641.05078125,16703.400390625,16755.849609375,16549.099609375
2016-04-25,16746.94921875,16678.650390625,16767.900390625,16605.0
2016-04-26,16647.75,17002.55078125,17029.849609375,16572.0
2016-04-27,16869.349609375,16872.94921875,16995.0,16827.349609375
2016-04-28,16885.80078125,16716.900390625,17023.349609375,16692.69921875
2016-04-29,16712.94921875,16795.0,16841.30078125,16527.55078125
2016-05-02,16614.0,16543.0,16674.150390625,16519.55078125
2016-05-03,16570.75,16388.69921875,16719.400390625,16358.400390625
2016-05-04,16320.099609375,16274.25,16465.599609375,16250.5
2016-05-05,16292.400390625,16281.0,16398.25,16193.7001953125
2016-05-06,16264.4501953125,16296.599609375,16346.25,16186.25
2016-05-09,16357.0,16686.099609375,16712.900390625,16357.0
2016-05-10,16710.05078125,16784.94921875,16812.19921875,16613.900390625
2016-05-11,16544.25,16754.44921875,16861.94921875,16518.75
2016-05-12,16881.25,16923.69921875,16962.0,16779.5
2016-05-13,16891.69921875,16716.900390625,16891.69921875,16594.55078125
2016-05-16,16744.150390625,16737.55078125,16780.05078125,16431.650390625
2016-05-17,16818.400390625,16762.75,16903.349609375,16738.69921875
2016-05-18,16671.69921875,16728.94921875,16759.05078125,16556.599609375
2016-05-19,16725.44921875,16565.25,16726.150390625,16535.75
2016-05-20,16600.80078125,16481.44921875,16623.19921875,16455.400390625
2016-05-23,16560.150390625,16407.55078125,16604.150390625,16368.0
2016-05-24,16422.349609375,16456.650390625,16501.05078125,16368.599609375
2016-05-25,16600.650390625,16997.44921875,17025.849609375,16599.05078125
2016-05-26,17037.599609375,17359.30078125,17424.05078125,16971.349609375
2016-05-27,17348.349609375,17511.80078125,17543.30078125,17327.650390625
2016-05-30,17580.849609375,17520.650390625,17666.05078125,17484.80078125
2016-05-31,17615.099609375,17620.900390625,17648.25,17462.19921875
2016-06-01,17670.849609375,17423.44921875,17670.849609375,17392.849609375
2016-06-02,17405.150390625,17567.80078125,17596.400390625,17350.44921875
2016-06-03,17657.19921875,17680.80078125,17762.05078125,17649.05078125
2016-06-06,17710.44921875,17671.400390625,17754.150390625,17636.900390625
2016-06-07,17796.55078125,17948.150390625,18000.94921875,17713.349609375
2016-06-08,17976.25,17946.80078125,17995.80078125,17855.19921875
2016-06-09,17955.80078125,17887.69921875,17986.150390625,17801.55078125
2016-06-10,17830.19921875,17828.599609375,18051.5,17815.25
2016-06-13,17620.55078125,17593.94921875,17666.55078125,17527.55078125
2016-06-14,17698.94921875,17672.400390625,17719.849609375,17575.94921875
2016-06-15,17746.05078125,17917.900390625,17943.650390625,17659.599609375
2016-06-16,17827.599609375,17671.30078125,17827.599609375,17545.80078125
2016-06-17,17772.30078125,17696.05078125,17843.150390625,17590.75
2016-06-20,17425.80078125,17718.599609375,17779.0,17425.80078125
2016-06-21,17761.650390625,17619.099609375,17763.30078125,17585.650390625
2016-06-22,17610.099609375,17626.05078125,17755.25,17518.150390625
2016-06-23,17630.80078125,17892.44921875,17907.5,17611.0
2016-06-24,17213.849609375,17426.05078125,17459.19921875,16946.349609375
2016-06-27,17346.30078125,17514.94921875,17611.19921875,17346.30078125
2016-06-28,17497.0,17561.55078125,17626.69921875,17481.5
2016-06-29,17643.650390625,17689.900390625,17728.94921875,17580.5
2016-06-30,17825.30078125,17935.400390625,17975.05078125,17795.900390625
2016-07-01,18019.69921875,17985.650390625,18074.94921875,17955.30078125
2016-07-04,18091.75,18097.650390625,18146.349609375,18054.80078125
2016-07-05,18122.400390625,18004.25,18124.099609375,17989.599609375
2016-07-07,18036.30078125,18084.900390625,18146.55078125,17997.099609375
2016-07-08,18078.05078125,18016.25,18079.19921875,17910.900390625
2016-07-11,18268.150390625,18390.94921875,18409.44921875,18243.30078125
2016-07-12,18527.849609375,18667.599609375,18684.44921875,18464.150390625
2016-07-13,18704.900390625,18618.94921875,18711.599609375,18546.25
2016-07-14,18633.5,18863.75,18880.900390625,18580.19921875
2016-07-15,18887.900390625,18953.650390625,19016.099609375,18772.44921875
2016-07-18,18998.30078125,18923.400390625,19158.0,18885.0
2016-07-19,18970.150390625,18905.150390625,19030.05078125,18833.599609375
2016-07-20,18896.80078125,18968.19921875,19016.25,18886.30078125
2016-07-21,18967.400390625,18674.30078125,19000.30078125,18644.55078125
2016-07-22,18697.80078125,18690.400390625,18735.400390625,18551.30078125
2016-07-25,18594.94921875,18989.599609375,19035.349609375,18572.099609375
2016-07-26,18979.099609375,18860.849609375,19044.44921875,18814.25
2016-07-27,18908.44921875,19021.94921875,19125.0,18882.400390625
2016-07-28,19050.400390625,19076.55078125,19126.75,18998.80078125
2016-07-29,19047.05078125,18953.150390625,19070.150390625,18912.599609375
2016-08-01,18896.5,18740.599609375,19078.5,18634.400390625
2016-08-02,18783.599609375,18708.25,18866.55078125,18671.849609375
2016-08-03,18680.94921875,18602.0,18775.400390625,18542.599609375
2016-08-04,18724.900390625,18571.69921875,18724.900390625,18443.650390625
2016-08-05,18725.19921875,18925.94921875,18943.150390625,18708.25
2016-08-08,18986.75,18939.44921875,19028.69921875,18896.0
2016-08-09,18968.650390625,18933.30078125,19008.150390625,18838.599609375
2016-08-10,18966.849609375,18647.80078125,18985.25,18611.25
2016-08-11,18621.0,18640.400390625,18699.19921875,18537.099609375
2016-08-12,18698.30078125,18963.69921875,18986.80078125,18695.5
2016-08-16,19029.099609375,19002.150390625,19062.19921875,18839.400390625
2016-08-17,19044.55078125,19041.25,19138.349609375,18966.349609375
2016-08-18,19087.19921875,19352.80078125,19367.44921875,19083.0
2016-08-19,19419.0,19414.69921875,19457.400390625,19327.19921875
2016-08-22,19432.599609375,19330.25,19493.19921875,19252.75
2016-08-23,19311.900390625,19341.650390625,19372.650390625,19246.900390625
2016-08-24,19358.69921875,19355.599609375,19392.19921875,19284.349609375
2016-08-25,19383.69921875,19304.25,19432.75,19282.80078125
2016-08-26,19336.44921875,19195.75,19358.0,19133.900390625
2016-08-29,19174.44921875,19217.0,19247.849609375,19096.69921875
2016-08-30,19306.5,19531.55078125,19546.349609375,19306.5
2016-08-31,19595.900390625,19787.599609375,19823.400390625,19595.900390625
2016-09-01,19805.80078125,19788.849609375,19928.19921875,19738.30078125
2016-09-02,19830.349609375,19883.19921875,19911.25,19787.599609375
2016-09-06,19990.94921875,20426.19921875,20459.44921875,19990.94921875
2016-09-07,20505.80078125,20406.900390625,20575.80078125,20376.75
2016-09-08,20439.19921875,20417.25,20477.400390625,20335.19921875
2016-09-09,20274.75,20245.30078125,20349.69921875,20139.150390625
2016-09-12,19861.44921875,19790.599609375,19861.44921875,19735.55078125
2016-09-14,19757.05078125,19909.150390625,19953.150390625,19732.150390625
2016-09-15,19927.599609375,19837.55078125,19955.400390625,19730.25
